"","threshold","method","testing_population","mean_FDR","mean_FPR","mean_FNR","mean_true_positive","mean_false_positive","mean_true_negative","mean_false_negative","plot_legend","overlap_percentage"
"179",0.571428571428571,"TL","YRI",0.232876718228182,0.1351,0.55505,889.9,270.2,1729.8,1110.1,"TL(Y&C2Y)",100
"180",0.73469387755102,"TL","YRI",0.215822159752099,0.10165,0.6307,738.6,203.3,1796.7,1261.4,"TL(Y&C2Y)",100
"181",0.897959183673469,"TL","YRI",0.194057567134069,0.07285,0.6974,605.2,145.7,1854.3,1394.8,"TL(Y&C2Y)",100
"182",1.06122448979592,"TL","YRI",0.172608993568488,0.05075,0.7569,486.2,101.5,1898.5,1513.8,"TL(Y&C2Y)",100
"183",1.22448979591837,"TL","YRI",0.153272228409244,0.0337,0.81345,373.1,67.4,1932.6,1626.9,"TL(Y&C2Y)",100
"184",1.38775510204082,"TL","YRI",0.135274124179777,0.02165,0.86105,277.9,43.3,1956.7,1722.1,"TL(Y&C2Y)",100
"185",1.55102040816327,"TL","YRI",0.119123319148128,0.0135,0.9001,199.8,27,1973,1800.2,"TL(Y&C2Y)",100
"186",1.71428571428571,"TL","YRI",0.113647327580688,0.00885,0.9312,137.6,17.7,1982.3,1862.4,"TL(Y&C2Y)",100
"187",1.87755102040816,"TL","YRI",0.0948401749688776,0.005,0.9529,94.2,10,1990,1905.8,"TL(Y&C2Y)",100
"188",2.04081632653061,"TL","YRI",0.082352808970206,0.003,0.96765,64.7,6,1994,1935.3,"TL(Y&C2Y)",100
"189",2.20408163265306,"TL","YRI",0.0796612266343996,0.00185,0.9791,41.8,3.7,1996.3,1958.2,"TL(Y&C2Y)",100
"190",2.36734693877551,"TL","YRI",0.070978122035547,0.0011,0.98625,27.5,2.2,1997.8,1972.5,"TL(Y&C2Y)",100
"191",2.53061224489796,"TL","YRI",0.0545350482850483,0.00045,0.9921,15.8,0.9,1999.1,1984.2,"TL(Y&C2Y)",100
"192",2.69387755102041,"TL","YRI",0.0642857142857143,0.00035,0.9951,9.8,0.7,1999.3,1990.2,"TL(Y&C2Y)",100
"193",2.85714285714286,"TL","YRI",0.0342857142857143,1e-04,0.9971,5.8,0.2,1999.8,1994.2,"TL(Y&C2Y)",100
"194",3.02040816326531,"TL","YRI",0.025,5e-05,0.9986,2.8,0.1,1999.9,1997.2,"TL(Y&C2Y)",100
